"FanDuelID","GAMEDATE","W","QS","SO","ER","IP"
15242,"2019-05-21",0,0,0,0,0.33
15242,"2019-05-19",0,0,0,0,0
15242,"2019-05-18",0,0,1,0,0.66
15242,"2019-05-16",0,0,0,0,1
15242,"2019-05-11",0,0,0,0,0
15242,"2018-10-01",0,0,0,0,0
15242,"2018-09-29",0,0,0,0,0.33
15242,"2018-09-26",0,0,1,0,0.33
15242,"2018-09-25",0,0,0,1,0
15242,"2018-09-24",0,0,0,0,0.33
15242,"2018-09-22",0,0,1,0,0.33
15242,"2018-09-18",0,0,1,0,1.33
15242,"2018-09-16",0,0,0,0,1
15242,"2018-09-14",0,0,0,0,0.33
15242,"2018-09-11",0,0,1,0,1
15242,"2018-09-09",0,0,0,0,0.66
15242,"2018-09-08",0,0,0,0,0
15242,"2018-09-05",0,0,0,0,0.33
15242,"2018-09-02",0,0,1,0,1
15242,"2018-09-01",0,0,1,0,1
15242,"2018-08-29",0,0,0,0,1
15242,"2018-08-27",0,0,0,0,0.33
15242,"2018-08-26",0,0,1,0,1.33
15242,"2018-08-22",0,0,1,1,0.33
15242,"2018-08-21",0,0,0,0,0.66
15242,"2018-08-19",0,0,1,0,0.66
15242,"2018-08-18",0,0,1,0,1.33
15242,"2018-08-14",0,0,2,0,1
15242,"2018-08-10",0,0,0,0,0
15242,"2018-08-07",0,0,2,0,2
15242,"2018-08-05",0,0,0,2,0
15242,"2018-08-04",1,0,0,0,0.33
15242,"2018-08-02",1,0,0,2,0.33
15242,"2018-08-01",0,0,1,1,0.66
15242,"2018-07-28",0,0,1,0,1
15242,"2018-07-26",0,0,2,0,1
15242,"2018-07-23",0,0,1,0,0.66
15242,"2018-07-13",0,0,0,1,0.66
15242,"2018-07-05",0,0,0,0,0.33
15242,"2018-07-04",0,0,0,0,1
15242,"2018-07-03",0,0,2,0,1
15242,"2018-07-01",0,0,0,1,0.33
15242,"2018-06-28",0,0,1,0,1
15242,"2018-06-27",0,0,1,0,1
15242,"2018-06-24",0,0,0,0,1
15242,"2018-06-22",0,0,1,0,1
15242,"2018-06-19",0,0,2,0,1
15242,"2018-06-16",0,0,2,0,0.66
15242,"2018-06-15",0,0,1,0,0.33
15242,"2018-06-12",0,0,1,0,0.33
15242,"2018-06-11",0,0,1,0,1
15242,"2018-06-09",0,0,3,0,1
15242,"2018-06-07",0,0,0,0,1
15242,"2017-09-27",0,0,0,3,0.33
15242,"2017-09-23",0,0,0,0,0.33
15242,"2017-04-16",0,0,0,0,0.66
15242,"2017-04-15",0,0,0,0,0.66
15242,"2017-04-13",0,0,0,1,0.33
15242,"2017-04-12",0,0,0,0,0
15242,"2017-04-08",0,0,0,0,0.33
15242,"2017-04-07",1,0,0,0,0.33
15242,"2017-04-05",0,0,0,0,0
15242,"2016-08-29",0,0,1,0,1
15242,"2016-08-27",0,0,1,0,1
