"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","Probable Pitcher","Batting Order"
"37222-39151","OF","Mookie","Mookie Betts","Betts","13.689422607421875","104","9500","NYY@BOS","BOS","NYY","","","","","1"
"37222-13540","OF","J.D.","J.D. Martinez","Martinez","12.223157380756579","95","9000","NYY@BOS","BOS","NYY","","","","","4"
"37222-60643","OF","Aaron","Aaron Judge","Judge","12.297958685427297","49","8500","NYY@BOS","NYY","BOS","","","","",""
"37222-68585","3B","Rafael","Rafael Devers","Devers","13.932038834951456","103","8500","NYY@BOS","BOS","NYY","","","","","2"
"37222-37982","SS","Xander","Xander Bogaerts","Bogaerts","14.000980152803308","102","8000","NYY@BOS","BOS","NYY","","","","","3"
"37222-5562","1B","Edwin","Edwin Encarnacion","Encarnacion","12.778124491373697","96","8000","NYY@BOS","NYY","BOS","","","","",""
"37222-68495","OF","Andrew","Andrew Benintendi","Benintendi","11.321978558550825","91","7500","NYY@BOS","BOS","NYY","","","","","5"
"37222-13567","3B","DJ","DJ LeMahieu","LeMahieu","12.782105777138158","95","7500","NYY@BOS","NYY","BOS","DTD","Groin","","",""
"37222-80838","1B","Luke","Luke Voit","Voit","11.769565748131793","92","7000","NYY@BOS","NYY","BOS","","","","",""
"37222-79087","1B","Michael","Michael Chavis","Chavis","10.576829119426447","82","7000","NYY@BOS","BOS","NYY","","","","","0"
"37222-13894","OF","Aaron","Aaron Hicks","Hicks","11.585184733072916","54","6500","NYY@BOS","NYY","BOS","","","","",""
"37222-68588","2B","Gleyber","Gleyber Torres","Torres","11.326042175292969","96","6500","NYY@BOS","NYY","BOS","","","","",""
"37222-13841","SS","Didi","Didi Gregorius","Gregorius","10.919444613986546","36","6000","NYY@BOS","NYY","BOS","","","","",""
"37222-13858","C","Christian","Christian Vazquez","Vazquez","9.365168539325843","89","6000","NYY@BOS","BOS","NYY","","","","","0"
"37222-21637","OF","Jackie","Jackie Bradley Jr.","Bradley Jr.","9.08437474568685","96","5500","NYY@BOS","BOS","NYY","","","","","8"
"37222-38112","3B","Gio","Gio Urshela","Urshela","9.244705738740809","85","5000","NYY@BOS","NYY","BOS","","","","",""
"37222-80847","OF","Mike","Mike Tauchman","Tauchman","8.952830188679245","53","4500","NYY@BOS","NYY","BOS","","","","",""
"37222-6047","OF","Cameron","Cameron Maybin","Maybin","9.362790839616643","43","4500","NYY@BOS","NYY","BOS","","","","",""
"37222-13685","2B","Brock","Brock Holt","Holt","8.128888617621527","45","4500","NYY@BOS","BOS","NYY","","","","","6"
"37222-61506","C","Oscar","Oscar Hernandez","Hernandez","0","0","4000","NYY@BOS","BOS","NYY","","","","","0"
"37222-5188","OF","Jacoby","Jacoby Ellsbury","Ellsbury","0","0","4000","NYY@BOS","NYY","BOS","IL","Foot","","",""
"37222-80836","SS","Tzu-Wei","Tzu-Wei Lin","Lin","3.315384498009315","13","4000","NYY@BOS","BOS","NYY","","","","","0"
"37222-82824","1B","Mike","Mike Ford","Ford","8.127272865988992","11","4000","NYY@BOS","NYY","BOS","","","","",""
"37222-12428","C","Erik","Erik Kratz","Kratz","2.6523809887114025","21","4000","NYY@BOS","NYY","BOS","","","","",""
"37222-53837","3B","Marco","Marco Hernandez","Hernandez","6.2185182924623845","27","4000","NYY@BOS","BOS","NYY","","","","","0"
"37222-12302","OF","Giancarlo","Giancarlo Stanton","Stanton","10.811111450195312","9","4000","NYY@BOS","NYY","BOS","IL","Knee","","",""
"37222-13009","C","Austin","Austin Romine","Romine","6.157143002464657","42","4000","NYY@BOS","NYY","BOS","","","","",""
"37222-17105","C","Sandy","Sandy Leon","Leon","5.383720930232558","43","4000","NYY@BOS","BOS","NYY","","","","","9"
"37222-68496","1B","Sam","Sam Travis","Travis","5.625","20","4000","NYY@BOS","BOS","NYY","","","","","0"
"37222-12505","2B","Eduardo","Eduardo Nunez","Nunez","5.1100001017252605","60","4000","NYY@BOS","BOS","NYY","","","","","0"
"37222-79195","3B","Miguel","Miguel Andujar","Andujar","2.308333396911621","12","4000","NYY@BOS","NYY","BOS","IL","Shoulder","","",""
"37222-5532","1B","Steve","Steve Pearce","Pearce","5.286207001784752","29","4000","NYY@BOS","BOS","NYY","IL","Back","","","0"
"37222-81948","2B","Breyvic","Breyvic Valera","Valera","3","1","4000","NYY@BOS","NYY","BOS","","","","",""
"37222-5279","1B","Kendrys","Kendrys Morales","Morales","5.890566268057193","53","4000","NYY@BOS","NYY","BOS","","","","",""
"37222-12462","1B","Mitch","Mitch Moreland","Moreland","10.78800048828125","50","4000","NYY@BOS","BOS","NYY","","","","","7"
"37222-79918","C","Kyle","Kyle Higashioka","Higashioka","8.933333079020182","6","4000","NYY@BOS","NYY","BOS","","","","",""
"37222-16945","C","Gary","Gary Sanchez","Sanchez","11.475324358258929","77","4000","NYY@BOS","NYY","BOS","IL","Groin","","",""
"37222-82613","2B","Thairo","Thairo Estrada","Estrada","6.78","25","4000","NYY@BOS","NYY","BOS","","","","",""
"37222-5366","2B","Dustin","Dustin Pedroia","Pedroia","2.616666634877523","6","4000","NYY@BOS","BOS","NYY","IL","Knee","","","0"
"37222-52150","OF","Clint","Clint Frazier","Frazier","10.264150943396226","53","4000","NYY@BOS","NYY","BOS","","","","",""
"37222-68537","2B","Tyler","Tyler Wade","Wade","6.354999923706055","20","4000","NYY@BOS","NYY","BOS","","","","",""
"37222-5948","OF","Brett","Brett Gardner","Gardner","9.996739263119904","92","4000","NYY@BOS","NYY","BOS","IL","Knee","","",""
"37222-38140","1B","Greg","Greg Bird","Bird","6.769999694824219","10","4000","NYY@BOS","NYY","BOS","IL","Foot","","",""
"37222-13501","OF","Chris","Chris Owings","Owings","4.98292690370141","41","4000","NYY@BOS","BOS","NYY","","","","","0"
"37222-58431","OF","Terrance","Terrance Gore","Gore","5.3540542190139355","37","4000","NYY@BOS","NYY","BOS","","","","",""
